,Country,City,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,it,mascalucia,mascalucia,it,37.57,15.05,15.0,1.0,71.0,0.0
1,pa,boqueron,boqueron,pa,8.51,-82.57,29.0,5.1,70.0,40.0
2,sn,diourbel,diourbel,sn,14.65,-16.23,26.0,3.1,57.0,0.0
3,in,mayakonda,mayakonda,in,14.29,76.08,20.83,1.91,86.0,24.0
4,no,stange,stange,no,60.72,11.19,-0.12,4.96,87.0,92.0
5,br,carandai,carandai,br,-20.95,-43.81,21.0,2.1,88.0,40.0
6,de,hennef,hennef,de,50.78,7.28,2.0,0.5,80.0,0.0
7,za,kimberley,kimberley,za,-28.74,24.76,15.0,1.5,87.0,0.0
8,ph,magdalena,magdalena,ph,14.2,121.43,25.0,1.0,83.0,20.0
10,ci,anyama,anyama,ci,5.5,-4.06,28.0,2.1,88.0,0.0
11,gb,aylesbury,aylesbury,gb,51.82,-0.81,7.0,4.1,73.0,68.0
12,us,portage lakes,portage lakes,us,41.0,-81.54,7.0,3.1,35.0,40.0
13,ro,rabagani,rabagani,ro,46.75,22.23,14.0,4.6,82.0,88.0
14,fr,saverne,saverne,fr,48.74,7.36,5.0,1.0,86.0,0.0
15,de,miltenberg,miltenberg,de,49.7,9.25,5.0,2.1,74.0,20.0
16,us,mission bend,mission bend,us,29.69,-95.67,22.0,5.7,78.0,90.0
17,id,tuban,tuban,id,-6.9,112.07,24.08,1.93,93.0,24.0
18,gm,farafenni,farafenni,gm,13.57,-15.6,28.78,5.73,25.0,0.0
19,td,ngama,ngama,td,11.78,17.17,21.13,1.66,51.0,0.0
21,ye,bajil,bajil,ye,15.06,43.29,22.63,1.58,62.0,0.0
22,br,mirante do paranapanema,mirante do paranapanema,br,-22.29,-51.91,26.0,3.41,54.0,0.0
23,us,randallstown,randallstown,us,39.37,-76.8,12.0,4.6,31.0,1.0
24,ru,kondinskoye,kondinskoye,ru,59.65,67.41,0.03,3.01,96.0,88.0
25,in,zaidpur,zaidpur,in,26.83,81.33,25.0,4.1,69.0,0.0
26,ee,lehtmetsa,lehtmetsa,ee,59.32,25.35,6.0,3.1,93.0,90.0
27,ro,suditi,suditi,ro,44.58,27.6,10.71,3.38,73.0,36.0
28,ro,agas,agas,ro,46.48,26.22,14.0,7.2,71.0,0.0
29,in,chapar,chapar,in,26.27,90.47,17.48,0.66,100.0,92.0
30,ru,urzhum,urzhum,ru,57.11,50.0,-7.1,3.03,68.0,0.0
31,hn,el chimbo,el chimbo,hn,14.13,-87.12,33.0,5.1,34.0,40.0
33,ru,priamurskiy,priamurskiy,ru,48.52,134.9,-4.0,3.0,58.0,0.0
34,ch,geneva,geneva,ch,46.21,6.13,6.0,3.6,93.0,0.0
35,tr,erzincan,erzincan,tr,39.75,39.49,7.0,2.1,56.0,0.0
36,us,lake magdalene,lake magdalene,us,28.07,-82.47,27.0,1.5,31.0,1.0
37,nz,hokitika,hokitika,nz,-42.72,170.96,15.03,2.23,100.0,76.0
38,in,gulmarg,gulmarg,in,34.05,74.39,4.78,0.83,80.0,80.0
39,mx,alvarado,alvarado,mx,18.77,-95.76,28.0,4.1,65.0,40.0
40,jp,mihara,mihara,jp,34.46,133.0,12.0,6.43,87.0,75.0
41,cu,baracoa,baracoa,cu,20.35,-74.5,24.53,3.61,100.0,0.0
42,gb,dornoch,dornoch,gb,57.88,-4.03,4.0,1.0,100.0,56.0
43,mx,tulum,tulum,mx,20.21,-87.46,29.0,5.1,62.0,20.0
44,ru,kaa-khem,kaa-khem,ru,51.7,94.56,-13.1,1.21,74.0,0.0
45,se,boo,boo,se,59.33,18.28,6.0,3.6,93.0,80.0
46,hr,koprivnica,koprivnica,hr,46.16,16.83,8.48,2.86,92.0,0.0
47,us,irmo,irmo,us,34.09,-81.18,19.0,2.11,20.0,1.0
48,ru,volokonovka,volokonovka,ru,50.48,37.87,1.31,3.26,82.0,88.0
49,ru,anuchino,anuchino,ru,43.97,133.06,-1.55,0.78,68.0,92.0
50,es,benalmadena,benalmadena,es,36.6,-4.57,15.0,1.0,67.0,0.0
51,fr,libercourt,libercourt,fr,50.48,3.0,5.0,2.6,75.0,0.0
52,at,murzzuschlag,murzzuschlag,at,47.6,15.68,6.0,0.5,100.0,20.0
53,ph,calamba,calamba,ph,14.21,121.17,25.0,1.0,83.0,20.0
54,ro,teliu,teliu,ro,45.7,25.86,7.96,0.78,92.0,64.0
55,ca,buckingham,buckingham,ca,45.58,-75.42,-2.0,7.7,39.0,40.0
57,ph,bayog,bayog,ph,7.85,123.04,25.13,1.66,100.0,0.0
58,ph,bocaue,bocaue,ph,14.8,120.93,25.0,1.0,83.0,20.0
59,qa,umm bab,umm bab,qa,25.21,50.81,21.46,3.63,65.0,92.0
60,us,east saint louis,east saint louis,us,38.62,-90.15,18.0,5.7,41.0,1.0
61,pk,dera ghazi khan,dera ghazi khan,pk,30.03,70.64,21.23,3.01,55.0,0.0
62,ca,stephenville,stephenville,ca,48.55,-58.59,-2.0,10.3,74.0,90.0
63,at,villach,villach,at,46.62,13.85,6.0,1.5,93.0,20.0
64,fr,amboise,amboise,fr,47.41,0.98,6.0,2.6,81.0,0.0
65,ph,nangka,nangka,ph,14.67,121.11,25.0,1.0,83.0,20.0
66,ci,sakassou,sakassou,ci,7.45,-5.29,26.03,2.93,83.0,20.0
67,ee,haabneeme,haabneeme,ee,59.51,24.82,6.0,3.1,93.0,90.0
68,ph,san vicente,san vicente,ph,14.11,122.87,27.46,5.96,96.0,44.0
69,us,americus,americus,us,32.07,-84.23,22.0,1.5,11.0,1.0
70,ph,inobulan,inobulan,ph,8.89,124.79,26.31,2.71,85.0,0.0
71,lk,kolonnawa,kolonnawa,lk,6.93,79.89,26.0,2.1,83.0,5.0
72,it,san remo,san remo,it,43.82,7.76,12.0,1.5,76.0,0.0
73,pt,vila real,vila real,pt,41.3,-7.75,7.23,2.11,89.0,0.0
74,br,parati,parati,br,-20.51,-54.63,25.0,2.6,73.0,20.0
75,ro,zlatna,zlatna,ro,46.11,23.22,10.03,0.88,97.0,92.0
76,us,kennesaw,kennesaw,us,34.02,-84.62,20.0,2.1,20.0,1.0
77,lk,ratnapura,ratnapura,lk,6.68,80.4,21.18,1.28,95.0,64.0
78,co,jamundi,jamundi,co,3.26,-76.53,26.0,3.6,61.0,75.0
79,ua,vasylivka,vasylivka,ua,47.44,35.28,8.0,1.0,61.0,0.0
80,cl,longavi,longavi,cl,-35.97,-71.68,9.73,0.98,92.0,8.0
81,mk,gostivar,gostivar,mk,41.79,20.91,14.0,5.7,87.0,75.0
82,ph,bacayawan,bacayawan,ph,7.77,124.23,21.56,1.21,98.0,0.0
83,cn,babu,babu,cn,23.23,104.89,11.58,2.33,84.0,92.0
84,ng,damaturu,damaturu,ng,11.75,11.96,20.88,1.71,51.0,8.0
85,fr,montlucon,montlucon,fr,46.33,2.6,5.03,2.28,80.0,0.0
86,ph,tabinay,tabinay,ph,13.49,120.96,23.73,1.58,99.0,12.0
88,de,herbrechtingen,herbrechtingen,de,48.62,10.18,4.0,1.5,69.0,20.0
89,us,carrboro,carrboro,us,35.91,-79.08,16.0,2.6,24.0,1.0
90,in,tezpur,tezpur,in,26.62,92.79,17.91,1.33,96.0,24.0
91,de,bad tolz,bad tolz,de,47.76,11.56,7.0,2.1,86.0,64.0
92,in,shrirampur,shrirampur,in,18.86,79.49,23.43,3.93,68.0,44.0
94,ca,hay river,hay river,ca,60.82,-115.79,-14.0,3.1,60.0,20.0
95,id,karangampel,karangampel,id,-6.46,108.44,26.41,2.41,100.0,24.0
96,hu,helvecia,helvecia,hu,46.84,19.62,13.0,3.1,66.0,90.0
97,in,kotdwara,kotdwara,in,29.75,78.53,14.66,1.61,80.0,76.0
98,us,cathedral city,cathedral city,us,33.78,-116.46,35.0,4.6,15.0,1.0
99,in,khutar,khutar,in,28.2,80.28,22.46,2.41,72.0,8.0
100,in,avanigadda,avanigadda,in,16.02,80.92,24.18,2.18,92.0,0.0
101,de,augsburg,augsburg,de,48.37,10.9,7.0,1.0,74.0,0.0
102,ch,therwil,therwil,ch,47.5,7.56,4.0,0.5,93.0,0.0
103,cr,matina,matina,cr,10.08,-83.29,29.0,4.1,70.0,75.0
104,us,shoreview,shoreview,us,45.07,-93.13,4.0,3.1,69.0,90.0
105,zm,luanshya,luanshya,zm,-13.14,28.42,16.73,0.93,99.0,80.0
106,us,hazleton,hazleton,us,40.96,-75.99,6.0,4.6,35.0,1.0
107,us,south el monte,south el monte,us,34.05,-118.05,27.0,4.1,53.0,1.0
108,mg,ambalavao,ambalavao,mg,-21.83,46.94,18.68,2.93,88.0,32.0
109,ne,niamey,niamey,ne,13.52,2.11,31.0,1.16,5.0,48.0
110,us,sugar hill,sugar hill,us,34.11,-84.03,20.0,1.91,22.0,1.0
111,jp,maebaru,maebaru,jp,33.55,130.2,17.0,7.7,93.0,75.0
112,id,kedungwaru,kedungwaru,id,-8.06,111.91,23.53,1.68,96.0,20.0
113,ca,saint-felicien,saint-felicien,ca,48.65,-72.45,-9.0,10.3,47.0,90.0
114,hn,manto,manto,hn,14.92,-86.37,30.0,1.0,48.0,40.0
116,th,phanom sarakham,phanom sarakham,th,13.75,101.35,27.0,2.1,78.0,20.0
117,ru,raychikhinsk,raychikhinsk,ru,49.8,129.4,-2.6,2.41,54.0,0.0
118,nl,oud-beijerland,oud-beijerland,nl,51.83,4.42,6.0,1.0,86.0,20.0
119,jp,yotsukaido,yotsukaido,jp,35.67,140.18,18.0,5.1,100.0,40.0
120,id,besuki,besuki,id,-7.73,113.69,25.08,1.91,100.0,12.0
121,gb,dunstable,dunstable,gb,51.89,-0.52,7.0,4.1,73.0,68.0
123,gb,stratford-upon-avon,stratford-upon-avon,gb,52.19,-1.71,5.0,3.6,75.0,0.0
124,cn,anshun,anshun,cn,26.25,105.93,5.73,6.21,97.0,92.0
125,br,piraju,piraju,br,-23.19,-49.38,22.48,4.18,69.0,56.0
126,us,melville,melville,us,30.69,-91.74,22.0,3.18,60.0,90.0
127,fr,chalette-sur-loing,chalette-sur-loing,fr,48.01,2.74,5.0,3.1,80.0,0.0
128,de,wertheim,wertheim,de,49.76,9.51,3.0,2.1,74.0,20.0
129,ru,kanadey,kanadey,ru,53.17,47.53,-5.6,3.31,80.0,0.0
130,bw,gweta,gweta,bw,-20.21,25.26,18.81,1.48,91.0,92.0
131,no,horten,horten,no,59.42,10.48,2.0,5.1,55.0,80.0
132,my,keningau,keningau,my,5.33,116.16,24.0,2.6,88.0,75.0
133,ua,zachepylivka,zachepylivka,ua,49.2,35.24,7.23,3.08,73.0,92.0
134,br,elias fausto,elias fausto,br,-23.04,-47.37,26.0,2.6,50.0,0.0
135,ph,okiot,okiot,ph,9.57,123.17,25.58,2.38,73.0,68.0
136,us,fern park,fern park,us,28.65,-81.35,26.0,5.7,44.0,1.0
137,de,osterholz-scharmbeck,osterholz-scharmbeck,de,53.23,8.79,3.0,3.1,90.0,20.0
138,ca,athabasca,athabasca,ca,54.72,-113.29,-9.6,3.41,73.0,0.0
139,us,north lindenhurst,north lindenhurst,us,40.71,-73.38,7.0,6.7,24.0,20.0
140,ro,ruscova,ruscova,ro,47.79,24.28,6.88,0.88,100.0,88.0
142,cu,batabano,batabano,cu,22.72,-82.29,26.0,4.1,65.0,40.0
143,hu,nyirabrany,nyirabrany,hu,47.55,22.02,13.0,3.1,82.0,68.0
146,in,manvi,manvi,in,16.0,77.05,19.83,1.96,92.0,8.0
147,ph,bayang,bayang,ph,7.79,124.2,21.56,1.21,98.0,0.0
149,tr,keskin,keskin,tr,39.67,33.62,2.66,1.11,77.0,0.0
150,rs,novi becej,novi becej,rs,45.6,20.14,12.93,3.61,99.0,100.0
151,am,pemzashen,pemzashen,am,40.59,43.94,8.0,1.28,86.0,36.0
152,be,mechelen,mechelen,be,51.03,4.48,5.0,1.5,80.0,0.0
153,uz,tuytepa,tuytepa,uz,41.03,69.36,16.0,2.1,59.0,0.0
154,bg,kubrat,kubrat,bg,43.8,26.5,12.53,1.33,87.0,48.0
155,lt,priekule,priekule,lt,55.55,21.33,4.0,3.6,100.0,92.0
156,us,saint charles,saint charles,us,41.91,-88.31,4.0,3.6,100.0,90.0
157,et,robe,robe,et,7.12,40.01,8.53,1.21,88.0,12.0
158,co,tuquerres,tuquerres,co,1.09,-77.62,12.0,2.1,87.0,75.0
159,am,shnogh,shnogh,am,41.15,44.84,7.0,2.1,87.0,90.0
160,gb,bexhill,bexhill,gb,50.84,0.47,7.0,5.1,81.0,32.0
161,ua,horodok,horodok,ua,49.78,23.65,13.0,4.0,66.0,0.0
162,br,cacapava,cacapava,br,-23.1,-45.71,26.0,3.6,83.0,20.0
164,ro,tilisca,tilisca,ro,45.8,23.85,12.0,1.5,66.0,0.0
165,mx,champoton,champoton,mx,19.35,-90.72,28.0,5.1,78.0,40.0
166,ee,elva,elva,ee,58.22,26.41,9.0,5.7,93.0,0.0
167,in,mahuva,mahuva,in,21.09,71.76,27.03,5.61,99.0,80.0
168,ua,makariv,makariv,ua,50.46,29.81,10.0,4.0,61.0,32.0
169,ro,vartop,vartop,ro,44.2,23.35,14.0,2.6,76.0,0.0
170,br,pirapozinho,pirapozinho,br,-22.27,-51.5,26.0,3.83,54.0,0.0
171,li,schellenberg,schellenberg,li,47.23,9.55,8.0,1.0,70.0,90.0
172,ua,chapayevka,chapayevka,ua,47.47,36.35,7.31,3.73,66.0,92.0
173,pa,santo domingo,santo domingo,pa,7.75,-80.23,27.83,3.16,68.0,48.0
174,co,zapatoca,zapatoca,co,6.82,-73.27,31.0,7.7,100.0,90.0
175,dk,korsor,korsor,dk,55.33,11.14,3.0,9.3,74.0,0.0
176,ni,sebaco,sebaco,ni,12.85,-86.1,27.0,2.1,47.0,40.0
177,mx,macuspana,macuspana,mx,17.76,-92.6,33.0,3.1,46.0,40.0
178,in,barnala,barnala,in,30.38,75.54,18.43,1.01,91.0,24.0
179,mx,chapulco,chapulco,mx,18.62,-97.41,16.88,1.16,85.0,80.0
180,de,bergisch gladbach,bergisch gladbach,de,50.99,7.13,1.0,0.5,80.0,0.0
181,ro,grozesti,grozesti,ro,44.65,23.32,14.0,2.6,76.0,0.0
182,ru,sredneuralsk,sredneuralsk,ru,56.99,60.47,3.0,5.0,74.0,0.0
183,rs,subotica,subotica,rs,46.1,19.66,12.0,1.0,100.0,90.0
184,br,canoas,canoas,br,-29.92,-51.18,23.0,2.6,82.0,20.0
185,mu,cluny,cluny,mu,-20.37,57.6,25.0,3.1,83.0,75.0
186,ua,bilozerka,bilozerka,ua,46.63,32.45,8.18,1.26,78.0,100.0
187,us,lenoir,lenoir,us,35.91,-81.54,18.0,2.6,18.0,1.0
188,ph,potong,potong,ph,12.34,125.28,26.93,5.33,100.0,56.0
189,br,itapicuru,itapicuru,br,-11.31,-38.22,28.43,5.21,52.0,24.0
190,ru,borogontsy,borogontsy,ru,62.67,131.17,-6.1,2.33,75.0,12.0
191,gr,gouria,gouria,gr,38.47,21.26,15.0,1.0,81.0,75.0
192,pg,kundiawa,kundiawa,pg,-6.02,144.97,18.31,1.01,92.0,48.0
193,be,de pinte,de pinte,be,50.99,3.65,5.0,2.6,75.0,0.0
194,sa,sayhat,sayhat,sa,26.49,50.04,25.0,5.7,60.0,75.0
195,it,san nicola,san nicola,it,40.61,8.99,13.0,4.6,62.0,0.0
196,pe,chaupimarca,chaupimarca,pe,-10.43,-76.53,5.43,1.33,100.0,80.0
197,us,elk grove,elk grove,us,38.41,-121.37,18.0,3.6,55.0,90.0
199,be,boussu,boussu,be,50.43,3.8,5.0,2.6,75.0,0.0
200,co,urrao,urrao,co,6.32,-76.13,21.0,3.1,77.0,75.0
201,gr,kokkinokhoma,kokkinokhoma,gr,40.93,24.3,12.0,0.83,87.0,0.0
202,mu,bon accueil,bon accueil,mu,-20.17,57.66,25.0,3.1,83.0,75.0
203,ch,kerns,kerns,ch,46.9,8.28,8.0,2.1,70.0,75.0
204,ph,ineangan,ineangan,ph,16.32,121.09,20.33,1.21,97.0,64.0
207,in,mahishadal,mahishadal,in,22.19,87.98,25.0,4.1,83.0,40.0
208,in,radhanpur,radhanpur,in,23.83,71.61,23.71,3.63,66.0,0.0
209,hu,koszeg,koszeg,hu,47.39,16.54,9.56,6.56,73.0,0.0
210,am,talin,talin,am,40.38,43.87,8.0,1.23,86.0,0.0
211,ua,smila,smila,ua,49.23,31.88,7.23,4.86,68.0,36.0
212,gr,tinos,tinos,gr,37.54,25.16,16.0,1.5,87.0,20.0
213,in,patamundai,patamundai,in,20.57,86.57,24.41,3.38,95.0,0.0
214,jp,sasayama,sasayama,jp,35.07,135.23,17.0,2.1,67.0,75.0
215,ni,jalapa,jalapa,ni,13.92,-86.13,22.63,1.36,64.0,12.0
216,ph,apitong,apitong,ph,11.22,124.99,25.38,2.78,100.0,88.0
217,it,veroli,veroli,it,41.69,13.42,7.41,1.83,92.0,0.0
218,us,plaistow,plaistow,us,42.84,-71.09,5.0,8.7,25.0,20.0
219,ro,brodina,brodina,ro,47.88,25.43,5.46,0.78,89.0,44.0
220,ru,karpushikha,karpushikha,ru,57.5,59.9,-0.55,3.91,89.0,92.0
222,br,iguaba grande,iguaba grande,br,-22.84,-42.23,26.0,4.1,83.0,75.0
223,hu,szod,szod,hu,47.72,19.17,13.0,6.7,66.0,0.0
224,us,beach park,beach park,us,42.42,-87.86,7.0,6.7,41.0,90.0
225,jp,ishioka,ishioka,jp,36.19,140.29,16.0,5.1,100.0,40.0
226,td,bitkine,bitkine,td,11.98,18.21,20.16,1.66,51.0,0.0
227,it,massafra,massafra,it,40.59,17.12,12.0,4.6,81.0,20.0
228,tw,kaohsiung,kaohsiung,tw,22.62,120.31,24.0,1.5,78.0,75.0
229,gr,sevastiana,sevastiana,gr,40.77,22.12,10.88,0.93,93.0,80.0
230,ug,bugembe,bugembe,ug,0.48,33.23,17.58,1.48,95.0,80.0
231,gr,epanomi,epanomi,gr,40.43,22.93,13.0,1.5,76.0,40.0
232,gb,tonbridge,tonbridge,gb,51.19,0.27,7.0,3.1,80.0,0.0
233,sv,nueva guadalupe,nueva guadalupe,sv,13.53,-88.35,31.0,5.1,62.0,20.0
234,cz,jemnice,jemnice,cz,49.02,15.57,7.0,7.7,75.0,0.0
235,cz,vresina,vresina,cz,49.82,18.13,10.0,2.6,71.0,75.0
236,us,gloucester,gloucester,us,37.41,-76.53,16.0,2.1,22.0,1.0
237,us,allouez,allouez,us,44.48,-88.02,4.0,4.1,47.0,1.0
238,cz,jachymov,jachymov,cz,50.36,12.93,4.0,5.1,68.0,75.0
239,ee,rapina,rapina,ee,58.1,27.46,9.0,2.0,100.0,0.0
240,no,hjelset,hjelset,no,62.78,7.5,1.0,5.7,86.0,80.0
241,no,fevik,fevik,no,58.38,8.68,3.0,7.2,69.0,0.0
242,ua,bushtyno,bushtyno,ua,48.05,23.49,13.0,2.6,87.0,92.0
243,id,dumai,dumai,id,1.68,101.45,23.56,1.61,99.0,64.0
244,pa,la mesa,la mesa,pa,8.15,-81.19,25.16,0.76,68.0,48.0
246,ro,visina,visina,ro,44.58,25.33,17.0,2.1,67.0,0.0
